order_id,customer_id,order_date,ship_mode,sales,quantity,discount,category
ORD001,CUST123456,01/15/2024,Standard Class,150.50,2,0.1,Technology
ORD002,CUST234567,01/16/2024,Second Class,89.99,1,0.0,Office Supplies
ORD003,CUST345678,01/16/2024,First Class,1200.00,3,0.15,Furniture
ORD004,CUST456789,01/17/2024,Same Day,45.75,1,0.05,Office Supplies
ORD005,CUST567890,01/18/2024,Standard Class,320.99,5,0.2,Technology
ORD006,CUST678901,01/19/2024,Second Class,750.00,2,0.1,Furniture
ORD007,CUST789012,01/20/2024,Standard Class,99.99,1,0.0,Office Supplies
ORD008,CUST890123,01/21/2024,First Class,2400.50,4,0.25,Technology
ORD009,CUST901234,01/22/2024,Same Day,180.00,3,0.1,Furniture
ORD010,CUST012345,01/23/2024,Standard Class,65.50,1,0.05,Office Supplies
